Month,Day,Year,Covid,Day of Week,Holiday,Season,Previous Year Sales,Label
8,10,2017,0,Thursday,0,Summer,0,0
8,11,2017,0,Friday,0,Summer,0,3
8,12,2017,0,Saturday,0,Summer,0,0
8,13,2017,0,Sunday,0,Summer,0,0
8,14,2017,0,Monday,0,Summer,0,6
8,15,2017,0,Tuesday,0,Summer,0,1
8,16,2017,0,Wednesday,0,Summer,0,2
8,17,2017,0,Thursday,0,Summer,0,0
8,18,2017,0,Friday,0,Summer,0,0
8,19,2017,0,Saturday,0,Summer,0,7
8,20,2017,0,Sunday,0,Summer,0,0
8,21,2017,0,Monday,0,Summer,0,1
8,22,2017,0,Tuesday,0,Summer,0,0
8,23,2017,0,Wednesday,0,Summer,0,0
8,24,2017,0,Thursday,0,Summer,0,0
8,25,2017,0,Friday,0,Summer,0,0
8,26,2017,0,Saturday,0,Summer,0,7
8,27,2017,0,Sunday,0,Summer,0,0
8,28,2017,0,Monday,0,Summer,0,1
8,29,2017,0,Tuesday,0,Summer,0,2
8,30,2017,0,Wednesday,0,Summer,0,2
8,31,2017,0,Thursday,0,Summer,0,0
9,1,2017,0,Friday,1,Summer,0,2
9,2,2017,0,Saturday,1,Summer,0,0
9,3,2017,0,Sunday,1,Summer,0,0
9,4,2017,0,Monday,1,Summer,0,0
9,5,2017,0,Tuesday,1,Summer,0,6
9,6,2017,0,Wednesday,1,Summer,0,2
9,7,2017,0,Thursday,1,Summer,0,2
9,8,2017,0,Friday,1,Summer,0,1
9,9,2017,0,Saturday,1,Summer,0,0
9,10,2017,0,Sunday,1,Summer,0,0
9,11,2017,0,Monday,1,Summer,0,10
9,12,2017,0,Tuesday,1,Summer,0,3
9,13,2017,0,Wednesday,1,Summer,0,1
9,14,2017,0,Thursday,1,Summer,0,1
9,15,2017,0,Friday,1,Summer,0,0
9,16,2017,0,Saturday,1,Summer,0,0
9,17,2017,0,Sunday,1,Summer,0,0
9,18,2017,0,Monday,1,Summer,0,10
9,19,2017,0,Tuesday,1,Summer,0,4
9,20,2017,0,Wednesday,1,Summer,0,7
9,21,2017,0,Thursday,1,Summer,0,0
9,22,2017,0,Friday,1,Summer,0,3
9,23,2017,0,Saturday,1,Summer,0,0
9,24,2017,0,Sunday,1,Fall,0,0
9,25,2017,0,Monday,1,Fall,0,7
9,26,2017,0,Tuesday,1,Fall,0,0
9,27,2017,0,Wednesday,1,Fall,0,1
9,28,2017,0,Thursday,1,Fall,1,0
9,29,2017,0,Friday,1,Fall,0,0
9,30,2017,0,Saturday,1,Fall,0,0
10,1,2017,0,Sunday,1,Fall,0,0
10,2,2017,0,Monday,1,Fall,0,10
10,3,2017,0,Tuesday,1,Fall,0,2
10,4,2017,0,Wednesday,1,Fall,1,2
10,5,2017,0,Thursday,1,Fall,0,6
10,6,2017,0,Friday,1,Fall,0,5
10,7,2017,0,Saturday,1,Fall,0,0
10,8,2017,0,Sunday,1,Fall,0,0
10,9,2017,0,Monday,1,Fall,0,9
10,10,2017,0,Tuesday,1,Fall,0,3
10,11,2017,0,Wednesday,1,Fall,1,5
10,12,2017,0,Thursday,1,Fall,0,0
10,13,2017,0,Friday,1,Fall,1,0
10,14,2017,0,Saturday,1,Fall,0,0
10,15,2017,0,Sunday,1,Fall,0,0
